Cidade,Estado,População total estimada do município,Taxa de homicídios,Soluções em monitoramento para a segurança pública,Políticas públicas e ações para segurança pública,Urbanização vias públicas,Soluções para telegestão da iluminação pública,Taxa de analfabetismo,Geração de trabalho e renda no município,Índice de desenvolvimento humano do município (IDH-M),Pesquisas de satisfação/ Monitoramento da percepção de qualidade,Score_Seguranca
Santa Luzia,MA,72667,15.42,1.0,3,57.25,0.0,33.78,0,0.55,4.0,53.068044074591604
Santana do Araguaia,PA,72817,23.21,1.0,4,28.07,0.0,16.53,0,0.602,4.0,53.067376857617774
Jaguaquara,BA,54423,12.56,1.0,3,39.17,0.0,27.3,0,0.58,4.0,53.019667683043
Santo Antônio de Jesus,BA,101512,65.39,1.0,3,72.98,0.0,12.07,0,0.7,4.0,52.957892110025334
Goiana,PE,79758,45.6,1.0,3,59.99,0.0,16.85,0,0.651,4.0,52.9567988385233
Portel,PA,62043,25.29,1.0,4,21.03,0.0,29.84,5,0.483,4.0,52.9135648060083
Moreno,PE,62784,81.2,1.0,3,61.64,0.0,16.2,5,0.652,4.0,52.909461173660056
Carpina,PE,83641,40.3,1.0,3,44.06,0.0,15.87,0,0.68,4.0,52.87422617056093
Campo Alegre,AL,57063,35.08,1.0,0,55.49,0.0,27.0,5,0.57,4.0,52.80729833532473
São Miguel do Guamá,PA,58986,33.53,1.0,3,52.42,0.0,16.22,0,0.591,4.0,52.69811973333937
Coruripe,AL,56933,75.33,1.0,3,60.52,0.0,21.55,5,0.626,4.0,52.50492551270766
Catu,BA,54704,74.95,1.0,4,74.75,0.0,10.49,0,0.677,4.0,52.4777659139813
Altamira,PA,114594,89.14,1.0,4,61.14,0.0,12.78,4,0.665,4.0,52.448495525072516
Caicó,RN,67952,48.71,1.0,3,42.5,0.0,14.67,0,0.71,4.0,52.26579911504766
Ouricuri,PE,69459,33.71,1.0,3,64.8,0.0,27.98,0,0.572,4.0,52.23781316392714
Balsas,MA,94887,36.36,1.0,3,26.27,0.0,12.99,0,0.687,4.0,52.108585811455946
Marituba,PA,131521,84.51,1.0,3,41.56,0.0,5.08,5,0.676,4.0,52.10352998158871
São Gonçalo do Amarante,RN,102400,98.27,1.0,3,73.37,0.0,13.61,5,0.661,4.0,52.048930951866076
Viana,MA,52441,48.54,1.0,3,62.16,0.0,16.61,0,0.618,4.0,52.0234472052225
Almirante Tamandaré,PR,118623,73.6,1.0,3,30.27,0.0,5.79,4,0.699,4.0,52.014853349885925
Teixeira de Freitas,BA,160487,72.58,1.0,3,30.42,0.0,13.99,5,0.685,4.0,51.97862313310843
Colombo,PR,243726,48.1,1.0,0,52.09,0.0,4.6,0,0.733,4.0,51.61514898021416
Itupiranga,PA,53269,48.26,1.0,3,34.02,0.0,23.4,5,0.528,4.0,51.419042371026734
Ipixuna do Pará,PA,64053,28.13,1.0,3,61.93,0.0,24.16,0,0.489,4.0,51.320421142169636
Buriticupu,MA,72358,46.33,1.0,3,27.96,0.0,27.47,5,0.556,4.0,51.27559308520008
Paudalho,PE,56506,88.3,1.0,3,62.85,0.0,20.77,5,0.639,4.0,51.18664320118164
Santo Antônio do Descoberto,GO,74744,78.93,1.0,0,72.86,0.0,8.75,4,0.665,4.0,51.16432529621877
Itamaraju,BA,64486,71.32,1.0,3,52.2,0.0,22.59,4,0.627,4.0,51.16027401777702
Gravatá,PE,84074,43.59,1.0,3,48.44,0.0,22.24,0,0.634,4.0,51.10619762269707
Santa Izabel do Pará,PA,70801,79.78,1.0,3,33.18,0.0,9.72,5,0.659,4.0,51.06467267011005
Vitória de Santo Antão,PE,138757,57.06,1.0,3,64.98,0.0,21.56,0,0.64,4.0,51.000945603287
União dos Palmares,AL,65611,72.45,1.0,3,58.71,0.0,31.19,5,0.593,4.0,50.96131312831299
Simões Filho,BA,134377,102.47,1.0,3,78.92,0.0,7.95,3,0.675,4.0,50.91978498085392
Casa Nova,BA,71969,37.09,1.0,3,50.29,0.0,23.34,0,0.57,4.0,50.704553333981096
Aquiraz,CE,80271,70.12,1.0,0,61.52,0.0,20.14,5,0.641,4.0,50.54167777324124
Araruama,RJ,132400,53.63,1.0,3,21.91,0.0,6.87,0,0.718,4.0,50.447437270359465
Acará,PA,55591,66.57,1.0,3,62.21,0.0,20.62,4,0.506,4.0,50.382614547662655
Águas Lindas de Goiás,GO,212440,45.43,1.0,3,16.1,0.0,6.97,0,0.686,4.0,50.34347630775025
Tobias Barreto,SE,52191,54.09,1.0,3,78.14,0.0,28.4,0,0.557,4.0,50.18195688312293
Barra do Corda,MA,88212,43.85,1.0,3,50.99,0.0,27.36,0,0.606,4.0,50.143375157491924
Ribeira do Pombal,BA,53807,47.47,1.0,0,48.35,0.0,25.92,4,0.601,4.0,50.04303859469227
Capitão Poço,PA,54303,58.75,1.0,3,31.63,0.0,24.1,5,0.548,4.0,49.98428025785355
Macaíba,RN,80792,73.22,1.0,3,76.82,0.0,21.54,0,0.64,4.0,49.80626117612714
Ceará-Mirim,RN,73497,115.85,1.0,4,78.77,0.0,20.72,5,0.616,4.0,49.3076816636604
Moju,PA,82094,53.42,1.0,3,59.09,0.0,18.94,0,0.547,4.0,49.12952943410821
Ulianópolis,PA,59210,44.85,1.0,3,27.64,0.0,13.06,0,0.604,4.0,49.10582345094012
Rio Largo,AL,75120,75.31,1.0,0,48.38,0.0,16.97,5,0.643,4.0,48.809685948686024
Morada Nova,CE,61890,84.25,1.0,4,55.46,0.0,27.08,3,0.61,4.0,48.807725114050754
Jequié,BA,155966,72.89,1.0,3,53.21,0.0,15.08,0,0.665,4.0,48.699126593781195
Planaltina,GO,89918,92.99,1.0,3,75.79,0.0,9.81,0,0.669,4.0,48.67624359242393
São Cristóvão,SE,90072,114.62,1.0,3,62.32,0.0,12.33,5,0.662,4.0,48.63941675936462
Porto Seguro,BA,148686,97.66,1.0,3,33.66,0.0,11.84,5,0.676,4.0,48.60044526148258
Cristalina,GO,58997,95.7,1.0,3,69.99,0.0,8.74,0,0.699,4.0,48.46935502958863
Queimados,RJ,150319,120.39,1.0,3,57.45,0.0,5.35,5,0.68,4.0,48.4414918185575
Itabaiana,SE,95427,115.47,1.0,3,74.0,0.0,21.88,5,0.642,4.0,48.22437232661223
Zé Doca,MA,51714,55.11,1.0,3,46.82,0.0,24.47,0,0.595,4.0,48.102130962784635
Valença,BA,96562,79.55,1.0,3,67.92,0.0,18.28,0,0.623,4.0,47.92054423223036
Benevides,PA,62737,103.62,1.0,3,29.15,0.0,6.28,5,0.665,4.0,47.60407358103527
Vigia,PA,53686,77.36,1.0,3,50.55,0.0,10.14,0,0.617,4.0,47.214035406628454
Breves,PA,102701,22.2,1.0,3,8.67,0.0,25.77,0,0.503,4.0,46.88817464195199
Vargem Grande,MA,56510,21.54,1.0,0,33.49,0.0,31.78,0,0.542,4.0,46.42380736969782
Japeri,RJ,104768,85.52,1.0,3,36.07,0.0,7.37,0,0.659,4.0,45.75935480495005
Russas,CE,78194,104.27,1.0,3,42.09,0.0,18.81,3,0.674,4.0,45.67826150307533
Bezerros,PE,60798,87.65,1.0,3,68.31,0.0,27.14,0,0.606,4.0,45.40968318125424
Rurópolis,PA,50510,22.93,1.0,0,4.72,0.0,18.67,0,0.548,4.0,44.823959350832524
Eunápolis,BA,113380,99.76,1.0,3,38.03,0.0,14.58,0,0.677,4.0,43.46070906219584
Novo Repartimento,PA,75919,64.96,1.0,3,24.63,0.0,21.2,0,0.537,4.0,43.4072839883417
Brejo da Madre de Deus,PE,50742,84.64,1.0,3,46.75,0.0,29.71,0,0.562,4.0,42.37991872288133
